id,vote_average,vote_count,popularity,release_date,original_language
8359,6.4,34,6.27141,2008-07-02,en
15648,5.5,203,11.158906,2005-06-17,en
41823,6.3,47,3.079862,1990-08-03,en
11891,6.1,159,8.288813,2002-01-25,en
9362,6.6,864,32.579697,1990-01-19,en
9902,6.0,635,33.555764,2003-05-30,en
14729,6.6,50,2.959547,1980-05-12,en
9455,6.0,57,4.068107,1999-03-12,en
103731,7.0,1068,17.663353,2013-05-01,en
10090,5.6,72,4.207456,2007-02-23,en
164558,8.0,201,7.944457,2013-08-28,en
19905,5.4,58,3.352702,2009-08-14,en
17710,5.6,62,5.856363,2002-06-28,en
75900,6.6,406,21.006078,2011-10-17,en
9515,6.2,136,5.647538,2005-05-12,en
27322,8.1,12,1.000178,1997-03-14,en
328425,6.7,1049,27.247013,2015-07-30,en
14120,6.1,15,1.83428,2005-12-02,en
10050,5.5,75,11.592129,2001-03-08,en
1542,7.4,1050,18.366362,1999-02-19,en
10490,6.4,86,6.736274,1999-07-23,en
87093,6.8,1196,28.570174,2014-12-24,en
10029,6.2,179,5.671691,1998-09-11,en
9893,5.3,101,5.842299,2004-07-09,en
11507,6.4,137,9.525626,1984-10-25,en
37931,5.1,179,14.038512,2010-05-21,en
3472,6.8,131,9.177896,2002-09-05,en
87818,4.4,797,35.350303,2013-01-01,en
13160,5.3,145,12.067921,2008-02-01,en
88005,6.3,700,30.863082,2012-06-22,en
52067,5.9,135,10.254807,2011-02-11,en
73,8.2,3016,73.567232,1998-10-30,en
134597,5.9,289,16.361743,2012-09-21,en
24034,5.5,2,1.374409,2004-01-16,en
14283,7.3,99,6.18869,1998-09-10,en
404,7.7,306,15.280261,1999-10-15,en
13201,5.5,34,0.753481,2002-05-03,en
209403,6.4,334,14.105392,2013-09-06,en
7942,6.2,238,14.905357,2007-09-06,en
73247,3.8,6,0.518056,1981-12-18,en
253331,6.5,115,12.172131,2014-09-06,en
34043,4.1,10,3.084874,2001-10-26,en
9952,6.9,336,17.078656,2006-09-09,en
256924,6.6,183,16.318608,2015-03-19,en
82532,6.1,217,10.409155,2011-09-13,en
41110,6.9,73,5.355763,2009-09-05,it
134371,5.4,41,4.725357,2012-10-12,en
2088,5.7,36,4.850402,1993-09-13,en
10388,6.6,105,8.902102,1999-05-15,en
1640,7.2,1149,28.223163,2004-01-13,en
25520,6.4,25,3.007816,2000-09-23,en
27342,6.8,15,1.610132,1987-05-01,en
13689,7.3,90,8.326131,2006-03-30,en
67911,4.4,51,3.919057,2011-09-09,en
24664,6.3,24,2.23411,2000-10-06,en
329440,4.8,448,19.865989,2016-01-07,en
47890,6.0,2,0.310513,1981-02-11,en
252512,5.8,383,19.263477,2015-04-03,en
55720,7.0,54,4.123533,2011-06-24,en
9613,6.4,168,6.948401,2002-12-13,en
29076,5.4,24,3.988432,2000-02-04,en
29339,6.8,49,5.099923,2002-12-27,en
68812,6.4,365,19.494703,2012-09-01,en
32740,5.5,46,3.759988,2006-06-23,hi
14195,6.2,51,4.176066,2000-05-17,en
73567,6.5,425,16.436178,2011-09-10,en
41479,6.1,210,14.979375,2009-09-13,en
15394,6.8,37,8.045488,2003-05-02,en
10071,4.9,46,8.312153,2007-09-07,en
1989,6.0,190,10.733761,2007-05-16,en
91076,6.3,7,0.111313,1998-05-21,en
12779,4.8,50,4.570043,2002-10-11,en
13191,5.6,86,6.265659,2008-04-28,en
11770,6.6,491,17.54768,2001-07-12,cn
12703,5.5,62,3.412162,2004-08-27,en
64559,6.4,5,0.627964,1997-10-15,fr
222649,6.5,98,5.75555,2014-11-07,en
115872,5.3,3,1.031142,1997-10-10,en
101173,5.9,131,7.554799,2011-02-14,en
25350,6.3,29,2.85283,2004-09-14,en
10034,6.4,12,1.769593,2001-07-16,en
20178,6.5,177,9.805551,2009-08-20,en
5072,6.4,169,12.898984,2006-05-19,en
18191,6.0,50,2.803642,2005-08-31,en
31007,6.4,139,6.085879,2010-10-29,en
11546,4.1,178,11.946898,1994-06-09,en
41894,6.0,5,0.397341,2010-02-01,en
184374,5.8,14,0.072085,2013-05-03,es
268171,6.2,31,2.849895,2014-03-07,en
78149,3.0,9,0.666218,1998-02-20,en
24663,4.8,19,1.388136,2009-02-07,en
39037,5.4,59,2.631688,2009-04-25,en
22805,4.7,44,10.955567,2009-01-21,en
39055,5.8,4,0.122874,2008-12-24,en
245846,5.1,83,5.145655,2015-07-01,en
25186,7.0,5,1.728816,2009-10-16,en
15017,3.9,29,3.064563,2007-12-21,en
12245,5.7,188,9.318033,2008-01-18,en
49787,5.4,130,7.245108,2010-05-15,en
16358,6.4,34,9.085482,2004-10-15,en
7006,5.6,80,6.814247,2007-01-05,en
66767,4.3,16,2.873796,2011-06-10,en
17622,6.1,35,4.481897,2008-09-10,en
283671,6.5,1,1.413934,2014-08-07,en
18516,6.4,22,2.574014,2008-08-08,en
217708,6.9,26,1.617943,2013-08-30,is
42057,4.3,9,1.259968,2010-05-07,en
17577,4.0,53,5.099472,2009-05-26,en
14608,6.4,6,2.131524,2007-02-02,en
34417,5.0,6,0.304566,2010-03-09,en
15067,7.1,193,11.847324,2008-07-16,ko
78383,4.9,119,10.013629,2013-09-28,en
43090,6.7,27,3.753703,2010-04-30,en
16614,6.4,737,19.978021,2009-04-03,en
9700,6.0,24,3.588529,2005-09-03,en
10471,6.4,135,9.337388,2000-01-12,en
250066,4.3,158,11.431434,2014-09-11,en
667,6.5,531,28.675891,1967-06-12,en
208869,6.1,86,9.70276,2014-04-30,en
86837,7.5,400,17.151293,2012-07-01,fr
10306,4.5,123,11.225044,1988-06-10,en
106845,4.9,34,5.346205,2015-10-16,en
11576,7.0,140,14.562991,1963-11-07,en
219,7.3,406,19.747809,2006-03-16,es
11827,6.2,148,12.928269,1981-08-07,en
22820,6.2,51,3.193777,2009-09-30,en
31174,6.9,49,5.107235,1995-12-29,en
244316,5.1,74,10.073144,2015-02-27,en
37737,6.0,40,4.807549,2010-05-21,en
62215,7.0,885,36.173598,2011-05-26,da
66125,7.1,83,5.499412,2011-08-04,en
132316,7.3,66,5.900535,2012-11-13,hi
348,7.9,4470,94.184658,1979-05-25,en
30497,7.2,590,29.262427,1974-10-01,en
27586,6.3,254,17.611971,2010-03-19,en
14811,7.4,134,7.623979,1971-11-03,en
660,6.5,562,31.036,1965-12-16,en
68684,5.7,129,10.424596,2011-03-16,en
40794,7.0,118,7.720692,2010-02-12,it
9400,6.9,66,6.717994,1996-11-06,en
16162,6.8,38,3.951041,1999-10-22,en
10585,6.3,581,27.600843,1988-11-08,en
2359,7.3,235,14.098952,2007-05-18,en
238636,6.6,1954,82.975841,2014-07-17,en
10472,4.9,70,3.269459,2000-01-21,en
11282,6.6,693,18.514292,2004-05-30,en
6521,6.7,60,7.029126,2000-10-13,en
14181,6.5,201,11.233081,2000-02-18,en
1621,7.1,738,34.022209,1983-06-07,en
9656,4.8,119,4.134327,2006-12-25,en
16428,5.8,21,6.904734,2004-05-14,en
10705,7.4,71,4.641006,1989-10-05,en
8272,6.8,110,5.663889,2007-01-19,en
24621,6.3,16,1.118511,2003-04-16,en
1619,6.4,100,8.775844,2000-09-08,en
9685,6.5,95,2.062087,2002-09-13,en
14425,6.0,41,8.738737,1994-04-29,en
14624,6.8,78,4.976268,2006-10-20,en
10179,5.7,49,3.810697,1984-03-16,en
15568,6.0,17,2.365328,2007-06-01,en
14057,5.5,29,5.2545,2005-09-01,en
12621,6.1,56,5.293363,2008-01-21,en
1808,6.9,116,10.932711,1998-10-23,en
293670,7.2,250,9.05029,2016-05-12,ko
67675,6.8,79,9.933926,2011-08-11,en
27329,5.1,6,0.843067,2001-08-17,th
29514,6.0,35,8.218383,1990-01-25,en
250349,5.8,214,5.119593,2014-04-30,fr
12454,7.0,33,2.872281,2002-05-17,en
39806,4.8,14,0.717811,2010-05-14,en
15699,6.1,7,1.458884,2006-11-22,en
8883,6.8,68,7.028946,2008-03-25,da
17926,4.5,12,2.009597,2005-08-26,en
291081,7.0,54,7.247023,2009-02-28,en
41248,5.6,10,2.351706,2009-03-18,fr
25968,5.8,75,4.799022,2009-05-16,en
9671,6.3,503,16.072466,1986-09-26,en
52010,5.2,27,3.891186,2010-12-10,en
11588,5.9,62,3.789485,2004-01-15,en
43418,7.3,40,3.949796,2010-04-15,en
71157,7.9,285,14.038703,2011-10-06,fr
13483,6.3,395,18.172736,2007-11-28,en
333355,8.0,27,1.881466,2005-03-21,en
327833,5.6,61,6.677926,2014-11-07,en
1547,6.8,538,24.750909,1987-07-31,en
25196,6.8,274,17.697042,2009-12-16,en
16323,6.8,28,7.000949,1979-11-07,en
175528,5.6,85,11.436405,2013-09-27,en
8069,5.7,146,14.171759,1968-10-10,en
71805,6.1,14,0.702971,1990-10-03,en
9451,6.7,270,13.476596,1999-04-23,en
16727,6.8,50,3.604863,2006-09-02,en
272693,6.8,1322,40.28709,2015-02-20,en
10696,3.4,38,3.809131,2001-09-21,en
